anio,mes,indice_tiempo,provincia,produccion_petroleo_promedio_dia_m3
2011,8,2011-08,Formosa,314.661612903226
2011,8,2011-08,Jujuy,55.1887096774194
2011,8,2011-08,La Pampa,4233.2084516129
2011,8,2011-08,La Rioja,0
2011,8,2011-08,Mendoza,13181.8399032258
2011,8,2011-08,Neuquén,18439.0406129032
2011,8,2011-08,Rio Negro,6423.61367741935
2011,8,2011-08,Salta,1177.96419354839
2011,8,2011-08,San Juan,0
2011,8,2011-08,Santa Cruz,18599.8565677419
2011,8,2011-08,Tierra del Fuego,1612.08629032258
2011,9,2011-09,Chubut,26158.5448906667
2011,9,2011-09,Estado Nacional,704.137
2011,9,2011-09,Formosa,309.881666666667
2011,9,2011-09,Jujuy,57.6633333333333
2011,9,2011-09,La Pampa,4148.06233333333
2011,9,2011-09,La Rioja,0
2011,9,2011-09,Mendoza,12924.3458666667
2011,9,2011-09,Neuquén,18419.018
2011,9,2011-09,Rio Negro,6441.6243
2011,9,2011-09,Salta,1168.08466666667
2011,9,2011-09,San Juan,0
2011,9,2011-09,Santa Cruz,19226.7411666667
2011,9,2011-09,Tierra del Fuego,1636.73753333333
2011,10,2011-10,Chubut,26244.7959735484
2011,10,2011-10,Estado Nacional,664.757741935484
2011,10,2011-10,Formosa,289.588064516129
2011,10,2011-10,Jujuy,44.8783870967742
2011,10,2011-10,La Pampa,4233.27693548387
2011,10,2011-10,La Rioja,0
2011,10,2011-10,Mendoza,13016.1633548387
2011,10,2011-10,Neuquén,18441.5751290323
2011,10,2011-10,Rio Negro,6439.22541935484
2011,10,2011-10,Salta,1122.25451612903
2011,10,2011-10,San Juan,0
2011,10,2011-10,Santa Cruz,19647.0817548387
2011,10,2011-10,Tierra del Fuego,1688.6375483871
2011,11,2011-11,Chubut,26136.6745726667
2011,11,2011-11,Estado Nacional,610.901333333333
2011,11,2011-11,Formosa,277.628333333333
2011,11,2011-11,Jujuy,56.8360333333333
2011,11,2011-11,La Pampa,4414.895
2011,11,2011-11,La Rioja,0
2011,11,2011-11,Mendoza,13037.0566333333
2011,11,2011-11,Neuquén,17993.4761666667
2011,11,2011-11,Rio Negro,6500.9012
2011,11,2011-11,Salta,1101.536
2011,11,2011-11,San Juan,0
2011,11,2011-11,Santa Cruz,19763.3345533333
2011,11,2011-11,Tierra del Fuego,1595.37743333333
2011,12,2011-12,Chubut,26166.8910954839
2011,12,2011-12,Estado Nacional,706.186129032258
2011,12,2011-12,Formosa,268.782258064516
2011,12,2011-12,Jujuy,56.4020967741935
