anio,mes,indice_tiempo,empresa,produccion_petroleo_promedio_dia_m3
2009,3,2009-03,PETRO ANDINA RESOURCES LTD.,4643.32322580645
2009,3,2009-03,PETROBRAS ARGENTINA S.A.,7028.75419354839
2009,3,2009-03,PETROFARO S.A.,0
2009,3,2009-03,PETROLEOS SUDAMERICANOS S.A.,243.481290322581
2009,3,2009-03,PETROLERA DEL COMAHUE S.A.,8.8416129032258
2009,3,2009-03,PETROLERA EL TREBOL S.A.,295.087161290323
2009,3,2009-03,PETROLERA ENTRE LOMAS S.A.,2152.75483870968
2009,3,2009-03,PETROLERA LF COMPANY S.R.L.,831.049677419355
2009,3,2009-03,PETROLERA PATAGONIA S.R.L.,24.3677419354839
2009,3,2009-03,PETROLERA PIEDRA DEL AGUILA S.A.,0
2009,3,2009-03,PETROLERA SAN JOSE S.R.L.,91.3222580645161
2009,3,2009-03,PETROMINERA CHUBUT S.E.,0
2009,3,2009-03,PETROQUIMICA COMODORO RIVADAVIA S.A.,1219.38064516129
2009,3,2009-03,PETRO TERRA CORPORATION,0.161290322580645
2009,3,2009-03,PLUSPETROL ENERGY S.A.,353.840967741935
2009,3,2009-03,PLUSPETROL S.A.,2088.96709335484
2009,3,2009-03,ROCH S.A.,287.76935483871
2009,3,2009-03,SAN JORGE PETROLEUM S.A.,3
2009,3,2009-03,TECPETROL S.A.,4307.99683870968
2009,3,2009-03,TOTAL AUSTRAL S.A.,2140.92416129032
2009,3,2009-03,YPF S.A.,34630.6427741935
2009,4,2009-04,ALIANZA PETROLERA ARGENTINA S.A.,0
2009,4,2009-04,APACHE ENERGIA ARGENTINA S.R.L.,1171.629
2009,4,2009-04,APACHE PETROLERA ARGENTINA S.A.,116.866666666667
2009,4,2009-04,APCO ARGENTINA INC.,0
2009,4,2009-04,ARGENTA ENERGIA S.A.,0
2009,4,2009-04,CAPEX S.A.,181.6
2009,4,2009-04,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),198.733333333333
2009,4,2009-04,CHAÑARES ENERGIA S.A.,572.068666666667
2009,4,2009-04,CHEVRON ARGENTINA S.R.L.,7519.58666666667
2009,4,2009-04,CLEAR S.R.L.,16.5500333333333
2009,4,2009-04,COLHUE HUAPI S.A.,73.4
2009,4,2009-04,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,21.12
2009,4,2009-04,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,1704.46666666667
2009,4,2009-04,"CRI HOLDING, INC.",32.8743333333333
2009,4,2009-04,DAPETROL S.A.,76.6193333333333
2009,4,2009-04,EHRENCAP S.A.,0
2009,4,2009-04,ENAP SIPETROL ARGENTINA S.A.,1787.46866666667
2009,4,2009-04,ENARSA ENERGIA ARGENTINA S.A.,0
2009,4,2009-04,ENERGIAL S.A.,0
2009,4,2009-04,EPSUR S.A.,30.252
2009,4,2009-04,EZ HOLDINGS S.A.,0
2009,4,2009-04,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),9.014
2009,4,2009-04,GRECOIL y CIA. S.R.L.,15.8076666666667
2009,4,2009-04,INGENIERIA ALPA S.A.,26.9776666666667
2009,4,2009-04,INGENIERIA SIMA S.A.,1.081
2009,4,2009-04,INTERENERGY ARGENTINA S.A.,5.4
2009,4,2009-04,MADALENA ENERGY ARGENTINA SRL ,177.23
2009,4,2009-04,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),743.373333333333
2009,4,2009-04,MEDANITO S.A.,147.456666666667
2009,4,2009-04,MISAHAR ARGENTINA S.A.,0.65
2009,4,2009-04,NECON S.A.,1.479
2009,4,2009-04,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",6454.83383333333
2009,4,2009-04,OIL M&S S.A.,1.68933333333333
2009,4,2009-04,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,17948.0626666667
2009,4,2009-04,PETRO ANDINA RESOURCES LTD.,4445.56366666667
2009,4,2009-04,PETROBRAS ARGENTINA S.A.,6915.63173333333
2009,4,2009-04,PETROFARO S.A.,0
2009,4,2009-04,PETROLEOS SUDAMERICANOS S.A.,245.067666666667
2009,4,2009-04,PETROLERA DEL COMAHUE S.A.,12.073
2009,4,2009-04,PETROLERA EL TREBOL S.A.,299.744633333333
2009,4,2009-04,PETROLERA ENTRE LOMAS S.A.,2160.47666666667
2009,4,2009-04,PETROLERA LF COMPANY S.R.L.,788.129666666667
2009,4,2009-04,PETROLERA PATAGONIA S.R.L.,21.718
2009,4,2009-04,PETROLERA PIEDRA DEL AGUILA S.A.,0
2009,4,2009-04,PETROLERA SAN JOSE S.R.L.,89.4166666666667
2009,4,2009-04,PETROMINERA CHUBUT S.E.,0
2009,4,2009-04,PETROQUIMICA COMODORO RIVADAVIA S.A.,1228.736
2009,4,2009-04,PETRO TERRA CORPORATION,0.133333333333333
2009,4,2009-04,PLUSPETROL ENERGY S.A.,319.574
2009,4,2009-04,PLUSPETROL S.A.,2023.09199186667
2009,4,2009-04,ROCH S.A.,325.363
2009,4,2009-04,SAN JORGE PETROLEUM S.A.,2.9
2009,4,2009-04,TECPETROL S.A.,4331.34896666667
2009,4,2009-04,TOTAL AUSTRAL S.A.,2191.22063333333
2009,4,2009-04,YPF S.A.,34443.9057666667
2009,5,2009-05,ALIANZA PETROLERA ARGENTINA S.A.,0
2009,5,2009-05,APACHE ENERGIA ARGENTINA S.R.L.,1103.69741935484
2009,5,2009-05,APACHE PETROLERA ARGENTINA S.A.,128.606451612903
2009,5,2009-05,APCO ARGENTINA INC.,0
2009,5,2009-05,ARGENTA ENERGIA S.A.,0
2009,5,2009-05,CAPEX S.A.,160.048387096774
2009,5,2009-05,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),181.706774193548
