anio,mes,indice_tiempo,empresa,produccion_gas_promedio_dia_mm3
2009,3,2009-03,APACHE ENERGIA ARGENTINA S.R.L.,3942.95161290323
2009,3,2009-03,APACHE PETROLERA ARGENTINA S.A.,22.0774193548387
2009,3,2009-03,APCO ARGENTINA INC.,0
2009,3,2009-03,ARGENTA ENERGIA S.A.,0
2009,3,2009-03,CAPEX S.A.,2039.86806451613
2009,3,2009-03,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),20.5
2009,3,2009-03,CHAÑARES ENERGIA S.A.,23.1501290322581
2009,3,2009-03,CHEVRON ARGENTINA S.R.L.,2079.96419354839
2009,3,2009-03,CLEAR S.R.L.,17.5377096774194
2009,3,2009-03,COLHUE HUAPI S.A.,16.658064516129
2009,3,2009-03,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,40.6151612903226
2009,3,2009-03,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,89.7787096774194
2009,3,2009-03,"CRI HOLDING, INC.",1.19032258064516
2009,3,2009-03,DAPETROL S.A.,0
2009,3,2009-03,EHRENCAP S.A.,0
2009,3,2009-03,ENAP SIPETROL ARGENTINA S.A.,1599.62870967742
2009,3,2009-03,ENARSA ENERGIA ARGENTINA S.A.,0
2009,3,2009-03,ENERGIAL S.A.,0
2009,3,2009-03,EPSUR S.A.,9.644
2009,3,2009-03,EZ HOLDINGS S.A.,0
2009,3,2009-03,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),3.53903225806452
2009,3,2009-03,GRECOIL y CIA. S.R.L.,0.878387096774194
2009,3,2009-03,INGENIERIA ALPA S.A.,2.33558064516129
2009,3,2009-03,INTERENERGY ARGENTINA S.A.,0.0645161290322581
2009,3,2009-03,MADALENA ENERGY ARGENTINA SRL ,12.5967741935484
2009,3,2009-03,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),229.405903225806
2009,3,2009-03,MEDANITO S.A.,292.200258064516
2009,3,2009-03,MISAHAR ARGENTINA S.A.,0.342645161290323
2009,3,2009-03,NECON S.A.,0
2009,3,2009-03,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",2024.20273548387
2009,3,2009-03,OIL M&S S.A.,0
2009,3,2009-03,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,17516.7219354839
2009,3,2009-03,PETRO ANDINA RESOURCES LTD.,156.288064516129
2009,3,2009-03,PETROBRAS ARGENTINA S.A.,13750.7109677419
2009,3,2009-03,PETROFARO S.A.,0
2009,3,2009-03,PETROLEOS SUDAMERICANOS S.A.,29.5325806451613
2009,3,2009-03,PETROLERA EL TREBOL S.A.,7.1068064516129
2009,3,2009-03,PETROLERA ENTRE LOMAS S.A.,979.845161290323
2009,3,2009-03,PETROLERA LF COMPANY S.R.L.,4634.10322580645
2009,3,2009-03,PETROLERA PATAGONIA S.R.L.,0
2009,3,2009-03,PETROLERA PIEDRA DEL AGUILA S.A.,42.5275806451613
2009,3,2009-03,PETROLERA SAN JOSE S.R.L.,7.82032258064516
2009,3,2009-03,PETROMINERA CHUBUT S.E.,0
2009,3,2009-03,PETROQUIMICA COMODORO RIVADAVIA S.A.,624.584193548387
2009,3,2009-03,PLUSPETROL ENERGY S.A.,5411.80538709677
2009,3,2009-03,PLUSPETROL S.A.,4164.06016129032
2009,3,2009-03,ROCH S.A.,800.652258064516
2009,3,2009-03,SAN JORGE PETROLEUM S.A.,10.6111290322581
2009,3,2009-03,TECPETROL S.A.,5199.14367741935
2009,3,2009-03,TOTAL AUSTRAL S.A.,33464.6268064516
2009,3,2009-03,YPF S.A.,36091.9345967742
2009,4,2009-04,ALIANZA PETROLERA ARGENTINA S.A.,0
2009,4,2009-04,APACHE ENERGIA ARGENTINA S.R.L.,3845.81
2009,4,2009-04,APACHE PETROLERA ARGENTINA S.A.,19.6966666666667
2009,4,2009-04,APCO ARGENTINA INC.,0
