anio,mes,indice_tiempo,cuenca,produccion_petroleo_promedio_dia_m3
2012,7,2012-07,CUYANA,4914.91187096774
2012,7,2012-07,DEL COLORADO,0
2012,7,2012-07,GOLFO SAN JORGE,38642.1070645161
2012,7,2012-07,LOS BOLSONES,0
2012,7,2012-07,NEUQUINA,35902.1267643871
2012,7,2012-07,NORESTE,0
2012,7,2012-07,NOROESTE,1527.18793548387
2012,8,2012-08,AUSTRAL,4310.61938709677
2012,8,2012-08,CAÑADON ASFALTO,0
2012,8,2012-08,CUYANA,5077.32467741935
2012,8,2012-08,DEL COLORADO,0
2012,8,2012-08,GOLFO SAN JORGE,41679.9157741935
2012,8,2012-08,LOS BOLSONES,0
2012,8,2012-08,NEUQUINA,36108.0190263226
2012,8,2012-08,NORESTE,0
2012,8,2012-08,NOROESTE,1528.07470967742
2012,9,2012-09,AUSTRAL,4299.65396666667
2012,9,2012-09,CAÑADON ASFALTO,0
2012,9,2012-09,CUYANA,5060.20423333333
2012,9,2012-09,DEL COLORADO,0
2012,9,2012-09,GOLFO SAN JORGE,41816.4586333333
2012,9,2012-09,LOS BOLSONES,0
2012,9,2012-09,NEUQUINA,36020.9792424
2012,9,2012-09,NORESTE,0
2012,9,2012-09,NOROESTE,1477.54853333333
2012,10,2012-10,AUSTRAL,4172.49377419355
2012,10,2012-10,CAÑADON ASFALTO,0
2012,10,2012-10,CUYANA,5006.96148387097
2012,10,2012-10,DEL COLORADO,0
2012,10,2012-10,GOLFO SAN JORGE,41547.7866129032
2012,10,2012-10,LOS BOLSONES,0
2012,10,2012-10,NEUQUINA,35604.9524839032
2012,10,2012-10,NORESTE,0
2012,10,2012-10,NOROESTE,1434.57290322581
2012,11,2012-11,AUSTRAL,4159.86906666667
2012,11,2012-11,CAÑADON ASFALTO,0
2012,11,2012-11,CUYANA,4904.3229
2012,11,2012-11,DEL COLORADO,0
2012,11,2012-11,GOLFO SAN JORGE,41233.3200333333
2012,11,2012-11,LOS BOLSONES,0
2012,11,2012-11,MALVINAS,0
2012,11,2012-11,NEUQUINA,32850.816769456
2012,11,2012-11,NORESTE,0
2012,11,2012-11,NOROESTE,1418.1865
2012,12,2012-12,AUSTRAL,4246.11093548387
2012,12,2012-12,CAÑADON ASFALTO,0
2012,12,2012-12,CUYANA,4924.86406451613
2012,12,2012-12,DEL COLORADO,0
2012,12,2012-12,GOLFO SAN JORGE,40956.8980645161
2012,12,2012-12,LOS BOLSONES,0
2012,12,2012-12,MALVINAS,0
2012,12,2012-12,NEUQUINA,35120.5519188271
2012,12,2012-12,NORESTE,0
2012,12,2012-12,NOROESTE,1424.15064516129
2013,1,2013-01,AUSTRAL,4062.846
2013,1,2013-01,CAÑADON ASFALTO,0
2013,1,2013-01,CUYANA,4847.70516129032
2013,1,2013-01,DEL COLORADO,0
2013,1,2013-01,GOLFO SAN JORGE,40492.3126451613
2013,1,2013-01,LOS BOLSONES,0
2013,1,2013-01,MALVINAS,0
2013,1,2013-01,NEUQUINA,34026.2790786448
2013,1,2013-01,NORESTE,0
2013,1,2013-01,NOROESTE,1420.09061290323
2013,2,2013-02,AUSTRAL,4074.31303571429
2013,2,2013-02,CAÑADON ASFALTO,0
2013,2,2013-02,CUYANA,4966.5065
2013,2,2013-02,DEL COLORADO,0
2013,2,2013-02,GOLFO SAN JORGE,40334.4133571429
2013,2,2013-02,LOS BOLSONES,0
2013,2,2013-02,MALVINAS,0
2013,2,2013-02,NEUQUINA,34117.5449894282
2013,2,2013-02,NORESTE,0
2013,2,2013-02,NOROESTE,1370.33071428571
2013,3,2013-03,AUSTRAL,3920.54825806452
2013,3,2013-03,CAÑADON ASFALTO,0
2013,3,2013-03,CUYANA,4937.81241935484
2013,3,2013-03,DEL COLORADO,0
2013,3,2013-03,GOLFO SAN JORGE,40677.1533548387
2013,3,2013-03,LOS BOLSONES,0
2013,3,2013-03,MALVINAS,0
2013,3,2013-03,NEUQUINA,34301.7363435077
2013,3,2013-03,NORESTE,0
2013,3,2013-03,NOROESTE,1335.89403225806
2013,4,2013-04,AUSTRAL,3905.38756666667
2013,4,2013-04,CAÑADON ASFALTO,0
2013,4,2013-04,CUYANA,4891.22366666667
2013,4,2013-04,DEL COLORADO,0
2013,4,2013-04,GOLFO SAN JORGE,39972.9504
2013,4,2013-04,LOS BOLSONES,0
2013,4,2013-04,MALVINAS,0
2013,4,2013-04,NEUQUINA,34500.91246
2013,4,2013-04,NORESTE,0
2013,4,2013-04,NOROESTE,1262.8559
2013,5,2013-05,AUSTRAL,3972.18093548387
2013,5,2013-05,CAÑADON ASFALTO,0
2013,5,2013-05,CUYANA,4829.93070335484
2013,5,2013-05,DEL COLORADO,0
2013,5,2013-05,GOLFO SAN JORGE,41019.776356067
2013,5,2013-05,LOS BOLSONES,0
2013,5,2013-05,MALVINAS,0
2013,5,2013-05,NEUQUINA,34908.9542816561
2013,5,2013-05,NORESTE,0
2013,5,2013-05,NOROESTE,1330.0045483871
2013,6,2013-06,AUSTRAL,4128.34876666667
2013,6,2013-06,CAÑADON ASFALTO,0
2013,6,2013-06,CUYANA,4834.69296666667
2013,6,2013-06,DEL COLORADO,0
2013,6,2013-06,GOLFO SAN JORGE,41264.7396519705
2013,6,2013-06,LOS BOLSONES,0
2013,6,2013-06,MALVINAS,0
2013,6,2013-06,NEUQUINA,34199.8733211857
2013,6,2013-06,NORESTE,0
2013,6,2013-06,NOROESTE,1268.13733333333
2013,7,2013-07,AUSTRAL,4031.51322580645
2013,7,2013-07,CAÑADON ASFALTO,0
2013,7,2013-07,CUYANA,4744.73783870968
2013,7,2013-07,DEL COLORADO,0
