anio,mes,indice_tiempo,cuenca,produccion_gas_promedio_dia_mm3
2012,10,2012-10,NEUQUINA,64383.8156774194
2012,10,2012-10,NORESTE,0
2012,10,2012-10,NOROESTE,9935.71470967742
2012,11,2012-11,AUSTRAL,30219.4287666667
2012,11,2012-11,CAÑADON ASFALTO,0
2012,11,2012-11,CUYANA,153.509404
2012,11,2012-11,DEL COLORADO,0
2012,11,2012-11,GOLFO SAN JORGE,14240.2506626667
2012,11,2012-11,LOS BOLSONES,0
2012,11,2012-11,MALVINAS,0
2012,11,2012-11,NEUQUINA,62940.0313
2012,11,2012-11,NORESTE,0
2012,11,2012-11,NOROESTE,9644.13016666667
2012,12,2012-12,AUSTRAL,30413.0069677419
2012,12,2012-12,CAÑADON ASFALTO,0
2012,12,2012-12,CUYANA,156.168988064516
2012,12,2012-12,DEL COLORADO,0
2012,12,2012-12,GOLFO SAN JORGE,13887.638614559
2012,12,2012-12,LOS BOLSONES,0
2012,12,2012-12,MALVINAS,0
2012,12,2012-12,NEUQUINA,61379.3002903226
2012,12,2012-12,NORESTE,0
2012,12,2012-12,NOROESTE,9550.26190322581
2013,1,2013-01,AUSTRAL,29224.2496129032
2013,1,2013-01,CAÑADON ASFALTO,0
2013,1,2013-01,CUYANA,157.980786129032
2013,1,2013-01,DEL COLORADO,0
2013,1,2013-01,GOLFO SAN JORGE,13973.8269060903
2013,1,2013-01,LOS BOLSONES,0
2013,1,2013-01,MALVINAS,0
2013,1,2013-01,NEUQUINA,61650.218967739
2013,1,2013-01,NORESTE,0
2013,1,2013-01,NOROESTE,9630.83283870968
2013,2,2013-02,AUSTRAL,29886.2023571429
2013,2,2013-02,CAÑADON ASFALTO,0
2013,2,2013-02,CUYANA,163.583755714286
2013,2,2013-02,DEL COLORADO,0
2013,2,2013-02,GOLFO SAN JORGE,13933.08038
2013,2,2013-02,LOS BOLSONES,0
2013,2,2013-02,MALVINAS,0
2013,2,2013-02,NEUQUINA,61802.1964285714
2013,2,2013-02,NORESTE,0
2013,2,2013-02,NOROESTE,9485.22767857143
2013,3,2013-03,AUSTRAL,26886.5855806452
2013,3,2013-03,CAÑADON ASFALTO,0
2013,3,2013-03,CUYANA,166.096503548387
2013,3,2013-03,DEL COLORADO,0
2013,3,2013-03,GOLFO SAN JORGE,14149.0681991935
2013,3,2013-03,LOS BOLSONES,0
2013,3,2013-03,MALVINAS,0
2013,3,2013-03,NEUQUINA,60981.9975483871
2013,3,2013-03,NORESTE,0
2013,3,2013-03,NOROESTE,9420.8214516129
2013,4,2013-04,AUSTRAL,28184.5859
2013,4,2013-04,CAÑADON ASFALTO,0
2013,4,2013-04,CUYANA,161.171975666667
2013,4,2013-04,DEL COLORADO,0
2013,4,2013-04,GOLFO SAN JORGE,14211.8425793333
2013,4,2013-04,LOS BOLSONES,0
2013,4,2013-04,MALVINAS,0
2013,4,2013-04,NEUQUINA,61121.6694666667
2013,4,2013-04,NORESTE,0
2013,4,2013-04,NOROESTE,8835.04083333333
2013,5,2013-05,AUSTRAL,29023.7294516129
2013,5,2013-05,CAÑADON ASFALTO,0
2013,5,2013-05,CUYANA,154.383965483871
2013,5,2013-05,DEL COLORADO,0
2013,5,2013-05,GOLFO SAN JORGE,14563.2699997269
2013,5,2013-05,LOS BOLSONES,0
2013,5,2013-05,MALVINAS,0
2013,5,2013-05,NEUQUINA,61533.3121935484
2013,5,2013-05,NORESTE,0
2013,5,2013-05,NOROESTE,9172.23667741935
2013,6,2013-06,AUSTRAL,29701.1673666667
2013,6,2013-06,CAÑADON ASFALTO,0
2013,6,2013-06,CUYANA,158.680360333333
2013,6,2013-06,DEL COLORADO,0
2013,6,2013-06,GOLFO SAN JORGE,14456.8597398471
2013,6,2013-06,LOS BOLSONES,0
2013,6,2013-06,MALVINAS,0
2013,6,2013-06,NEUQUINA,61867.5572999997
2013,6,2013-06,NORESTE,0
2013,6,2013-06,NOROESTE,8858.24536666667
2013,7,2013-07,AUSTRAL,29393.3044516129
2013,7,2013-07,CAÑADON ASFALTO,0
2013,7,2013-07,CUYANA,156.750270967742
2013,7,2013-07,DEL COLORADO,0
2013,7,2013-07,GOLFO SAN JORGE,14268.812899197
2013,7,2013-07,LOS BOLSONES,0
2013,7,2013-07,MALVINAS,0
2013,7,2013-07,NEUQUINA,61998.3047419352
2013,7,2013-07,ÑIRIHUAU,0
2013,7,2013-07,NORESTE,0
