anio,mes,indice_tiempo,provincia,produccion_gas_promedio_dia_mm3
2011,5,2011-05,Rio Negro,3476.0185483871
2011,5,2011-05,Salta,13044.3250645161
2011,5,2011-05,San Juan,0
2011,5,2011-05,Santa Cruz,9432.50867903226
2011,5,2011-05,Tierra del Fuego,10971.8207096774
2011,6,2011-06,Chubut,9640.93418166667
2011,6,2011-06,Estado Nacional,13105.6122666667
2011,6,2011-06,Formosa,62.6693333333333
2011,6,2011-06,Jujuy,13.4006666666667
2011,6,2011-06,La Pampa,1209.271
2011,6,2011-06,Mendoza,6215.10799
2011,6,2011-06,Neuquén,59771.9391666667
2011,6,2011-06,Rio Negro,3478.75986666667
2011,6,2011-06,Salta,13082.7877666667
2011,6,2011-06,San Juan,0
2011,6,2011-06,Santa Cruz,9473.121066
2011,6,2011-06,Tierra del Fuego,11197.0934666667
2011,7,2011-07,Chubut,9661.09760233776
2011,7,2011-07,Estado Nacional,12433.1330322581
2011,7,2011-07,Formosa,62.1270967741936
2011,7,2011-07,Jujuy,12.7441935483871
2011,7,2011-07,La Pampa,1242.48241935484
2011,7,2011-07,Mendoza,6231.75463483871
2011,7,2011-07,Neuquén,59108.9786451613
2011,7,2011-07,Rio Negro,3571.46306451613
2011,7,2011-07,Salta,12767.3998709677
2011,7,2011-07,San Juan,0
2011,7,2011-07,Santa Cruz,10313.4639604516
2011,7,2011-07,Tierra del Fuego,11095.7578387097
2011,8,2011-08,Chubut,9758.28650967742
2011,8,2011-08,Estado Nacional,13686.2229032258
2011,8,2011-08,Formosa,65.7158064516129
2011,8,2011-08,Jujuy,13.4938709677419
2011,8,2011-08,La Pampa,1273.12422580645
2011,8,2011-08,Mendoza,6214.1691716129
2011,8,2011-08,Neuquén,57783.4800967742
2011,8,2011-08,Rio Negro,4534.61270967742
2011,8,2011-08,Salta,12689.0790645161
2011,8,2011-08,Santa Cruz,11132.2648572903
2011,8,2011-08,Tierra del Fuego,10584.082516129
2011,9,2011-09,Chubut,9990.0338563323
2011,9,2011-09,Estado Nacional,13709.4545
2011,9,2011-09,Formosa,64.671
2011,9,2011-09,Jujuy,13.3456666666667
2011,9,2011-09,La Pampa,1294.59623333333
2011,9,2011-09,Mendoza,5760.64523433333
2011,9,2011-09,Neuquén,58359.6784
2011,9,2011-09,Rio Negro,3809.90913333333
2011,9,2011-09,Salta,12488.3954666667
2011,9,2011-09,San Juan,0
2011,9,2011-09,Santa Cruz,10983.5864959593
2011,9,2011-09,Tierra del Fuego,10793.6437666667
2011,10,2011-10,Chubut,10020.6711709677
2011,10,2011-10,Estado Nacional,13021.3255483871
2011,10,2011-10,Formosa,62.7683870967742
2011,10,2011-10,Jujuy,10.3577096774194
2011,10,2011-10,La Pampa,1244.03658064516
2011,10,2011-10,Mendoza,6094.91348387097
2011,10,2011-10,Neuquén,57580.9621935484
2011,10,2011-10,Rio Negro,3864.54932258064
2011,10,2011-10,Salta,12134.9547419355
2011,10,2011-10,San Juan,0
2011,10,2011-10,Santa Cruz,11908.7099741935
2011,10,2011-10,Tierra del Fuego,10550.9622903226
2011,11,2011-11,Chubut,9663.26445353226
2011,11,2011-11,Estado Nacional,12278.7824333333
2011,11,2011-11,Formosa,58.648
2011,11,2011-11,Jujuy,12.956
2011,11,2011-11,La Pampa,1269.18566666667
2011,11,2011-11,Mendoza,6068.481815
2011,11,2011-11,Neuquén,57213.3080333333
