periodo_str,produccion_total,cantidad_agrupadores
2018-06,77077.51616894566,66
2018-07,76870.49352618394,66
2018-08,78079.78288929157,62
2018-09,79269.34662727501,62
2018-10,79210.83366285323,63
2018-11,78866.44239044747,60
2018-12,79296.98608155709,60
2019-01,79629.70599398133,61
2019-02,79755.58364232501,61
2019-03,79895.99144170646,61
2019-04,80718.31108512865,61
2019-05,80462.88991694458,61
2019-06,79192.70397313504,60
2019-07,80318.8921673042,59
2019-08,82576.28096109579,59
2019-09,82219.27542379497,59
2019-10,81756.5434394642,60
2019-11,81739.51947512102,60
2019-12,82210.56129182702,60
2020-01,81605.74484280532,60
2020-02,82079.5117869016,59
2020-03,82431.66837324807,59
2020-04,73251.96425907337,59
2020-05,71173.19647564841,59
2020-06,75079.66837099074,59
2020-07,74643.50023138229,58
2020-08,75163.7190734374,59
2020-09,74833.57724528169,58
2020-10,75428.02225010865,58
2020-11,75359.31065117224,58
2020-12,76278.30786444581,58
2021-01,77488.77753942154,59
2021-02,78326.74040185392,58
2021-03,79080.9465892136,58
2021-04,79975.72379211639,58
2021-05,80193.99034101325,59
2021-06,79906.7780793318,58
2021-07,81389.21197034226,58
2021-08,80885.94169304286,58
2021-09,83221.7488686213,58
2021-10,84746.45438160322,58
2021-11,87020.33508277583,58
2021-12,87353.48319880794,58
2022-01,89016.56615099084,57
2022-02,88955.8142910289,56
2022-03,89469.12801841495,56
2022-04,90498.58463896796,56
2022-05,91658.80944074456,57
2022-06,91228.2256553676,57
2022-07,92176.12968211996,57
2022-08,92863.21734523165,57
2022-09,94540.08606776153,57
2022-10,96924.51038976206,58
2022-11,96814.16646613053,58
2022-12,97221.78173958272,59
2023-01,97933.39822638713,58
2023-02,99724.04351743002,58
2023-03,100341.72695022792,58
2023-04,99818.87979017133,58
2023-05,99842.81542454474,58
2023-06,98616.26087841962,58
2023-07,98073.95516581164,58
2023-08,98900.50723525157,58
2023-09,101250.41182521926,58
2023-10,103907.3631718128,58
2023-11,105965.16590298418,57
2023-12,107653.15429175312,57
2024-01,106459.79618120415,56
2024-02,106594.4337450951,57
2024-03,107747.32791574499,57
2024-04,108189.22906886836,56
2024-05,108667.77459960527,55
2024-06,105081.93811581738,55
2024-07,107507.1142346281,55
2024-08,113094.97808867482,56
2024-09,116570.34547117981,57
2024-10,116921.96838475968,57
2024-11,119459.0785913413,58
2024-12,120507.96443177189,58
2025-01,118860.90788738409,58
2025-02,118580.44681239716,58
2025-03,119008.19809186284,58
2025-04,117987.12187370431,58
2025-05,118895.15542682185,58
2025-06,123233.61549108615,59
2025-07,128041.00004768069,59
2025-08,129936.35599280972,59
2025-09,132654.29774242162,60
2025-10,135364.37314752833,60
2025-11,134961.7606800586,61
2025-12,138237.5262383609,64
2026-01,139091.20802957733,64
2026-02,137524.66211392827,65
2026-03,138307.6305859225,64
2026-04,140702.998480251,63
2026-05,142232.03581433877,64
2026-06,121144.36925673872,45
