periodo_str,produccion_total,cantidad_agrupadores
2015-09,84406.51006849838,13
2015-10,85122.6448130121,13
2015-11,84607.2762533631,13
2015-12,84612.63007038269,13
2016-01,83456.91922016848,13
2016-02,82398.90442889015,13
2016-03,82935.01952600486,13
2016-04,82825.63660694557,13
2016-05,79360.85421825835,13
2016-06,79585.86665597778,13
2016-07,81347.90523676676,13
2016-08,81009.9630993122,13
2016-09,81544.81721308797,13
2016-10,81186.75881862304,13
2016-11,79817.0797020756,13
2016-12,78654.29965868154,13
2017-01,79071.60801778811,13
2017-02,77225.01699335992,13
2017-03,77175.83332123036,13
2017-04,72158.95027545013,13
2017-05,74696.49416771134,13
2017-06,73380.00354663731,13
2017-07,75269.31271714487,13
2017-08,76159.80648380409,13
2017-09,77039.47881709313,13
2017-10,77815.24513538304,13
2017-11,77736.4594258758,13
2017-12,77372.29958747583,13
2018-01,76459.65078448346,13
2018-02,76766.9359967657,13
2018-03,77484.86313747418,13
2018-04,77370.43073565324,13
2018-05,77143.56229496776,13
2018-06,77077.5161689456,13
2018-07,76870.49352618391,13
2018-08,78079.78288929153,13
2018-09,79269.34662727505,12
2018-10,79210.83366285326,12
2018-11,78866.44239044737,12
2018-12,79296.98608155713,12
2019-01,79629.70599398132,12
2019-02,79755.58364232497,12
2019-03,79895.99144170649,12
2019-04,80718.31108512868,12
2019-05,80462.88991694443,11
2019-06,79192.70397313497,11
2019-07,80318.89216730416,11
2019-08,82576.28096109588,11
2019-09,82219.27542379506,11
2019-10,81756.54343946424,11
2019-11,81739.51947512098,11
2019-12,82210.56129182703,11
2020-01,81605.74484280527,11
2020-02,82079.5117869016,11
2020-03,82431.66837324805,11
2020-04,73251.9642590733,11
2020-05,71173.1964756484,11
2020-06,75079.66837099071,11
2020-07,74643.5002313823,11
2020-08,75163.71907343747,11
2020-09,74833.5772452816,11
2020-10,75428.0222501088,11
2020-11,75359.31065117223,11
2020-12,76278.30786444579,11
2021-01,77488.77753942162,11
2021-02,78326.74040185394,11
2021-03,79080.94658921359,11
2021-04,79975.72379211638,11
2021-05,80193.99034101312,11
2021-06,79906.77807933182,11
2021-07,81389.2119703423,11
2021-08,80885.94169304287,11
2021-09,83221.74886862133,11
2021-10,84746.45438160321,11
2021-11,87020.33508277588,11
2021-12,87353.48319880804,11
2022-01,89016.566150991,11
2022-02,88955.81429102896,11
2022-03,89469.12801841502,11
2022-04,90498.58463896804,11
2022-05,91658.8094407447,11
2022-06,91228.22565536758,11
2022-07,92176.12968211986,11
2022-08,92863.21734523153,11
2022-09,94540.08606776153,11
2022-10,96924.51038976216,11
2022-11,96814.16646613047,11
2022-12,97221.78173958266,11
2023-01,97933.39822638711,11
2023-02,99724.04351743,11
2023-03,100341.72695022787,11
2023-04,99818.8797901714,11
2023-05,99842.81542454465,11
2023-06,98616.26087841972,11
2023-07,98073.95516581158,11
2023-08,98900.50723525151,11
2023-09,101250.41182521918,11
2023-10,103907.36317181274,11
2023-11,105965.16590298423,11
2023-12,107653.15429175306,11
2024-01,106459.79618120425,11
2024-02,106594.43374509503,11
2024-03,107747.32791574491,11
2024-04,108189.22906886842,11
2024-05,108667.77459960512,11
2024-06,105081.93811581741,11
2024-07,107507.11423462804,11
2024-08,113094.97808867483,11
2024-09,116570.34547117996,11
2024-10,116921.96838475959,11
2024-11,119459.0785913413,11
2024-12,120507.96443177196,11
2025-01,118860.90788738399,11
2025-02,118580.44681239717,11
2025-03,119008.19809186301,11
2025-04,117987.12187370428,11
2025-05,118895.15542682202,11
2025-06,123233.61549108612,11
2025-07,128041.00004768078,11
2025-08,129936.35599280961,11
2025-09,132575.595075755,11
2025-10,135275.04314752825,11
2025-11,134877.5583102586,11
2025-12,136948.4748824254,11
