periodo_str,produccion_total,cantidad_agrupadores
2016-09,81544.817213088,11
2016-10,81186.75881862301,12
2016-11,79817.07970207566,12
2016-12,78654.2996586815,12
2017-01,79071.60801778815,12
2017-02,77225.01699336008,12
2017-03,77175.83332123044,12
2017-04,72158.95027545013,11
2017-05,74696.49416771135,11
2017-06,73380.00354663734,11
2017-07,75269.31271714493,11
2017-08,76159.80648380406,11
2017-09,77039.47881709311,11
2017-10,77815.245135383,11
2017-11,77736.45942587574,11
2017-12,77372.29958747588,11
2018-01,76459.65078448349,11
2018-02,76766.93599676566,10
2018-03,77484.8631374742,10
2018-04,77370.4307356533,10
2018-05,77143.56229496772,10
2018-06,77077.51616894573,10
2018-07,76870.49352618393,10
2018-08,78079.78288929166,11
2018-09,79269.346627275,11
2018-10,79210.8336628532,11
2018-11,78866.44239044734,11
2018-12,79296.98608155713,11
2019-01,79629.70599398126,11
2019-02,79755.58364232507,11
2019-03,79895.99144170637,11
2019-04,80718.31108512872,11
2019-05,80462.8899169445,10
2019-06,79192.70397313497,10
2019-07,80318.89216730425,10
2019-08,82576.2809610959,10
2019-09,82219.27542379497,10
2019-10,81756.54343946416,11
2019-11,81739.51947512093,11
2019-12,82210.56129182702,11
2020-01,81605.74484280533,11
2020-02,82079.51178690158,11
2020-03,82431.6683732481,11
2020-04,73251.96425907333,10
2020-05,71173.19647564841,11
2020-06,75079.66837099066,11
2020-07,74643.5002313822,11
2020-08,75163.71907343737,11
2020-09,74833.57724528169,11
2020-10,75428.02225010864,11
2020-11,75359.31065117226,11
2020-12,76278.30786444586,11
2021-01,77488.77753942162,10
2021-02,78326.74040185394,10
2021-03,79080.94658921358,10
2021-04,79975.72379211638,10
2021-05,80193.99034101315,10
2021-06,79906.77807933178,10
2021-07,81389.21197034234,10
2021-08,80885.94169304294,10
2021-09,83221.74886862138,10
2021-10,84746.45438160321,10
2021-11,87020.33508277578,10
2021-12,87353.48319880794,10
2022-01,89016.56615099088,10
2022-02,88955.81429102889,10
2022-03,89469.12801841498,10
2022-04,90498.58463896802,10
2022-05,91658.80944074463,10
2022-06,91228.22565536758,10
2022-07,92176.12968211986,10
2022-08,92863.21734523158,10
2022-09,94540.0860677616,10
2022-10,96924.51038976207,10
2022-11,96814.16646613053,10
2022-12,97221.78173958272,10
2023-01,97933.3982263871,10
2023-02,99724.04351743005,10
2023-03,100341.72695022792,10
2023-04,99818.87979017137,10
2023-05,99842.81542454466,10
2023-06,98616.26087841963,10
2023-07,98073.9551658116,10
2023-08,98900.50723525166,10
2023-09,101250.41182521926,10
2023-10,103907.36317181279,10
2023-11,105965.16590298424,10
2023-12,107653.15429175308,10
2024-01,106459.79618120429,10
2024-02,106594.43374509513,10
2024-03,107747.32791574503,10
2024-04,108189.22906886837,10
2024-05,108667.77459960512,10
2024-06,105081.9381158173,10
2024-07,107507.11423462807,10
2024-08,113094.97808867483,10
2024-09,116570.34547117991,10
2024-10,116921.96838475963,9
2024-11,119459.07859134123,9
2024-12,120507.9644317719,9
2025-01,118860.9078873841,9
2025-02,118580.44681239712,9
2025-03,119008.19809186296,9
2025-04,117987.1218737043,9
2025-05,118895.15542682199,9
2025-06,123233.61549108608,9
2025-07,128041.00004768069,9
2025-08,129936.35599280968,9
2025-09,132575.5950757549,9
2025-10,135275.04314752825,9
2025-11,134225.1382764953,8
