periodo_str,producto,total_cuenca,total_empresa,total_provincia,diff_cuenca_vs_provincia_pct,diff_empresa_vs_provincia_pct
2017-06,gas,122291.97995768102,122291.9799576811,122291.97995768109,-5.949660490165633e-14,1.1899320980331264e-14
2017-07,gas,123393.48086255103,123393.48086255102,123393.48086255102,1.1793098895213391e-14,0.0
2017-08,gas,123822.48882450614,123822.48882450609,123822.48882450617,-2.3504478655717065e-14,-7.05134359671512e-14
2017-09,gas,123418.42921434663,123418.42921434656,123418.42921434654,7.0744289913594e-14,1.1790714985598999e-14
2017-10,gas,124821.77638149595,124821.77638149605,124821.77638149602,-5.829077125088917e-14,2.331630850035567e-14
2017-11,gas,119194.79884787423,119194.79884787428,119194.79884787418,4.883406111348585e-14,8.545960694860024e-14
2017-12,gas,123031.24766500738,123031.2476650074,123031.24766500735,2.3655641155471625e-14,3.5483461733207436e-14
2018-01,gas,124044.83517093361,124044.83517093361,124044.83517093348,1.0558056437805663e-13,1.0558056437805663e-13
2018-02,gas,124838.82690292862,124838.82690292853,124838.82690292862,0.0,-6.993937185751692e-14
2018-03,gas,125867.89167361287,125867.89167361284,125867.89167361292,-3.468378242030457e-14,-5.780630403384095e-14
2018-04,gas,129248.82847830033,129248.82847830036,129248.82847830029,3.3776511709295655e-14,5.629418618215943e-14
2018-05,gas,127273.52194880674,127273.52194880678,127273.52194880685,-9.146861031610367e-14,-5.71678814475648e-14
2018-06,gas,132229.35325573332,132229.35325573335,132229.35325573338,-4.402022658380019e-14,-2.2010113291900094e-14
2018-07,gas,132140.58856841965,132140.58856841974,132140.5885684196,4.4049796920140636e-14,1.101244923003516e-13
2018-08,gas,133805.51918928992,133805.51918929003,133805.5191892901,-1.305050672038192e-13,-4.3501689067939733e-14
2018-09,gas,131800.17227223335,131800.17227223338,131800.17227223332,2.2081784837594693e-14,4.4163569675189387e-14
2018-10,gas,132364.80328070963,132364.80328070966,132364.8032807096,2.1987590156434886e-14,4.397518031286977e-14
2018-11,gas,123229.50650643378,123229.50650643374,123229.50650643362,1.29896704166123e-13,9.44703303026349e-14
2018-12,gas,128722.11171209709,128722.11171209699,128722.11171209707,1.1304907163824356e-14,-6.782944298294613e-14
2019-01,gas,129038.53071045199,129038.53071045183,129038.53071045195,3.383155825220854e-14,-9.02174886725561e-14
2019-02,gas,134663.57630725068,134663.5763072508,134663.57630725065,2.1612251252209374e-14,1.0806125626104687e-13
2019-03,gas,129487.23589232228,129487.23589232225,129487.23589232226,1.1238107855254392e-14,-1.1238107855254392e-14
2019-04,gas,131627.75076369994,131627.7507636999,131627.7507636999,2.211071015638741e-14,0.0
2019-05,gas,136960.61865424356,136960.61865424362,136960.6186542436,-2.1249780223471524e-14,2.1249780223471524e-14
2019-06,gas,139995.68177750002,139995.68177749988,139995.68177750014,-8.315636621703633e-14,-1.8710182398833173e-13
2019-07,gas,144418.52671209702,144418.52671209708,144418.5267120971,-6.045726497699241e-14,-2.015242165899747e-14
2019-08,gas,144422.81221983628,144422.8122198364,144422.81221983634,-4.030364733852803e-14,4.030364733852803e-14
2019-09,gas,137943.18488844452,137943.1848884446,137943.18488844458,-4.219683702427218e-14,2.109841851213609e-14
2019-10,gas,139900.8547989907,139900.8547989907,139900.85479899077,-4.160636544866008e-14,-4.160636544866008e-14
2019-11,gas,126984.53867553626,126984.53867553629,126984.53867553633,-5.729798044763969e-14,-3.437878826858381e-14
2019-12,gas,126865.62743072046,126865.62743072037,126865.62743072043,2.294067435454643e-14,-4.588134870909286e-14
2020-01,gas,130232.34320479199,130232.34320479204,130232.34320479199,0.0,3.352143147455417e-14
2020-02,gas,127716.0394872296,127716.03948722954,127716.03948722953,5.696980303645383e-14,1.1393960607290765e-14
2020-03,gas,126621.24672414325,126621.24672414311,126621.24672414316,6.895485049236467e-14,-3.447742524618233e-14
2020-04,gas,116740.223890782,116740.2238907821,116740.22389078204,-3.739563299616703e-14,4.9860843994889375e-14
2020-05,gas,124471.1384035008,124471.13840350069,124471.13840350075,3.507298659355134e-14,-4.6763982124735125e-14
2020-06,gas,126021.74919613304,126021.74919613297,126021.74919613304,0.0,-5.773572943238188e-14
2020-07,gas,126827.88520774165,126827.88520774158,126827.88520774152,1.0326375531751552e-13,4.589500236334023e-14
2020-08,gas,125672.14280664509,125672.14280664508,125672.14280664516,-5.789634402413242e-14,-6.94756128289589e-14
2020-09,gas,122853.76705780027,122853.76705780037,122853.76705780033,-4.737963052128619e-14,3.553472289096464e-14
2020-10,gas,121881.17071580293,121881.17071580292,121881.1707158029,2.387885699309266e-14,1.193942849654633e-14
2020-11,gas,115727.6232878563,115727.6232878563,115727.62328785629,1.2574279860713114e-14,1.2574279860713114e-14
2020-12,gas,113873.20666561277,113873.20666561299,113873.20666561287,-8.945335745017568e-14,1.0223240851448649e-13
2021-01,gas,116014.85452364551,116014.8545236456,116014.8545236455,1.2543148278827485e-14,8.78020379517924e-14
2021-02,gas,114579.22553332138,114579.22553332149,114579.22553332149,-8.890216016423016e-14,0.0
2021-03,gas,114523.94538603153,114523.94538603154,114523.94538603163,-8.894507280133587e-14,-7.623863382971645e-14
2021-04,gas,114239.91220483357,114239.91220483367,114239.91220483364,-6.369015411301735e-14,2.547606164520694e-14
2021-05,gas,121286.63334093388,121286.63334093399,121286.6333409339,-1.1997954619996548e-14,7.198772771997928e-14
2021-06,gas,127022.89122980062,127022.8912298007,127022.89122980068,-4.5824544182483056e-14,2.2912272091241528e-14
2021-07,gas,130729.21513536088,130729.21513536101,130729.21513536105,-1.3357609663577665e-13,-3.339402415894416e-14
2021-08,gas,133725.3716609571,133725.37166095708,133725.37166095705,4.352776155376499e-14,2.1763880776882496e-14
2021-09,gas,132672.67914603333,132672.6791460333,132672.67914603342,-6.580969942884545e-14,-8.774626590512727e-14
2021-10,gas,127230.11089690306,127230.11089690313,127230.11089690316,-8.00623420670518e-14,-2.2874954876300516e-14
2021-11,gas,127878.08021923376,127878.08021923373,127878.08021923383,-5.689761374044359e-14,-7.965665923662103e-14
2021-12,gas,128861.93561423411,128861.9356142342,128861.93561423408,2.258528115227139e-14,9.034112460908556e-14
2022-01,gas,129953.40574229747,129953.40574229743,129953.40574229746,1.1197794428892346e-14,-2.2395588857784693e-14
2022-02,gas,127327.01242624967,127327.01242624962,127327.01242624965,1.1428773008237833e-14,-2.2857546016475666e-14
2022-03,gas,125476.45750085037,125476.45750085026,125476.45750085032,4.638930845897761e-14,-4.638930845897761e-14
2022-04,gas,127374.05008609303,127374.05008609314,127374.05008609306,-2.2849105007701496e-14,5.712276251925374e-14
2022-05,gas,136343.38556883854,136343.38556883845,136343.38556883854,0.0,-6.403793701170662e-14
2022-06,gas,139751.140349466,139751.14034946612,139751.14034946612,-8.330187613197501e-14,0.0
2022-07,gas,140475.67876803223,140475.6787680322,140475.67876803235,-8.287222588841985e-14,-1.0359028236052482e-13
2022-08,gas,141778.60252680664,141778.60252680673,141778.6025268067,-4.105532137859931e-14,2.0527660689299654e-14
2022-09,gas,136347.9275544667,136347.9275544667,136347.92755446662,6.403580379710794e-14,6.403580379710794e-14
2022-10,gas,132981.10768148187,132981.10768148198,132981.10768148192,-4.3771376196449764e-14,4.3771376196449764e-14
2022-11,gas,126753.58539666657,126753.58539666659,126753.58539666666,-6.888285731481739e-14,-5.740238109568116e-14
2022-12,gas,129041.43545125812,129041.43545125816,129041.43545125805,5.638466116514741e-14,9.021545786423585e-14
2023-01,gas,129028.13932093552,129028.13932093543,129028.1393209355,1.127809430171774e-14,-5.6390471508588695e-14
2023-02,gas,130191.28357289275,130191.28357289283,130191.28357289289,-1.1177334479707599e-13,-4.4709337918830396e-14
2023-03,gas,128853.75193183866,128853.75193183872,128853.75193183863,2.2586715575134447e-14,6.776014672540335e-14
2023-04,gas,128782.99247143338,128782.99247143336,128782.9924714333,5.6497814459447215e-14,4.5198251567557766e-14
2023-05,gas,134974.97966745155,134974.9796674517,134974.97966745158,-2.156238921349652e-14,8.624955685398608e-14
2023-06,gas,138217.75531453325,138217.75531453322,138217.7553145333,-4.211301274645067e-14,-6.316951911967601e-14
2023-07,gas,138167.29686422585,138167.29686422582,138167.2968642258,4.212839234357092e-14,2.106419617178546e-14
2023-08,gas,144420.13608396795,144420.1360839678,144420.13608396766,2.0152197086846928e-13,1.0076098543423464e-13
2023-09,gas,143230.77713269967,143230.7771327,143230.7771327,-2.2351490471036576e-13,0.0
2023-10,gas,125980.40752477413,125980.40752477417,125980.4075247742,-5.775467596223325e-14,-2.3101870384893303e-14
2023-11,gas,126330.69059326673,126330.69059326669,126330.69059326673,0.0,-3.4556722107737255e-14
2023-12,gas,114161.63622293541,114161.63622293546,114161.63622293553,-1.0197411817013403e-13,-6.373382385633377e-14
2024-01,gas,123803.87792806457,123803.87792806457,123803.87792806454,2.350801198137291e-14,2.350801198137291e-14
2024-02,gas,134056.7214083793,134056.72140837932,134056.7214083793,0.0,2.1710086708800078e-14
2024-03,gas,134658.2099840645,134658.2099840645,134658.20998406448,2.16131125314809e-14,2.16131125314809e-14
2024-04,gas,136157.4770604,136157.47706039995,136157.47706039998,2.1375124660853645e-14,-2.1375124660853645e-14
2024-05,gas,150140.89911312875,150140.89911312907,150140.89911312907,-2.132277992972775e-13,0.0
2024-06,gas,147557.27864590034,147557.27864589993,147557.2786459004,-3.944750231749045e-14,-3.155800185399236e-13
2024-07,gas,151904.88005638687,151904.8800563871,151904.88005638734,-3.065479444339675e-13,-1.5327397221698376e-13
2024-08,gas,153032.46219312944,153032.46219312897,153032.46219312897,3.0428922114581713e-13,0.0
2024-09,gas,147218.685009933,147218.68500993334,147218.6850099333,-2.1746025988648776e-13,1.976911453513525e-14
2024-10,gas,133163.7873477396,133163.7873477396,133163.78734773965,-4.371132878750721e-14,-4.371132878750721e-14
2024-11,gas,127177.39949533336,127177.39949533324,127177.39949533332,3.4326653838131416e-14,-5.721108973021902e-14
2024-12,gas,124483.82595129039,124483.82595129035,124483.82595129035,3.5069411910735095e-14,0.0
2025-01,gas,138523.47121290336,138523.4712129032,138523.4712129032,1.0505017742445488e-13,0.0
