periodo_str,produccion_total,cantidad_agrupadores
2017-02,116924.37955306431,12
2017-03,122219.92680350099,12
2017-04,123286.6342439728,11
2017-05,122109.81471984705,11
2017-06,122291.97995768102,11
2017-07,123393.48086255103,11
2017-08,123822.48882450614,11
2017-09,123418.42921434663,11
2017-10,124821.77638149595,11
2017-11,119194.79884787423,11
2017-12,123031.24766500738,11
2018-01,124044.83517093361,10
2018-02,124838.82690292862,10
2018-03,125867.89167361287,10
2018-04,129248.82847830033,10
2018-05,127273.52194880674,10
2018-06,132229.35325573332,10
2018-07,132140.58856841965,10
2018-08,133805.51918928992,11
2018-09,131800.17227223335,11
2018-10,132364.80328070963,11
2018-11,123229.50650643378,11
2018-12,128722.11171209709,11
2019-01,129038.53071045199,11
2019-02,134663.57630725068,11
2019-03,129487.23589232228,11
2019-04,131627.75076369994,11
2019-05,136960.61865424356,10
2019-06,139995.68177750002,10
2019-07,144418.52671209702,10
2019-08,144422.81221983628,10
2019-09,137943.18488844452,10
2019-10,139900.8547989907,11
2019-11,126984.53867553626,11
2019-12,126865.62743072046,11
2020-01,130232.34320479199,11
2020-02,127716.0394872296,11
2020-03,126621.24672414325,11
2020-04,116740.223890782,10
2020-05,124471.1384035008,11
2020-06,126021.74919613304,11
2020-07,126827.88520774165,11
2020-08,125672.14280664509,11
2020-09,122853.76705780027,11
2020-10,121881.17071580293,11
2020-11,115727.6232878563,11
2020-12,113873.20666561277,11
2021-01,116014.85452364551,10
2021-02,114579.22553332138,10
2021-03,114523.94538603153,10
2021-04,114239.91220483357,10
2021-05,121286.63334093388,10
2021-06,127022.89122980062,10
2021-07,130729.21513536088,10
2021-08,133725.3716609571,10
2021-09,132672.67914603333,10
2021-10,127230.11089690306,10
2021-11,127878.08021923376,10
2021-12,128861.93561423411,10
2022-01,129953.40574229747,10
2022-02,127327.01242624967,10
2022-03,125476.45750085037,10
2022-04,127374.05008609303,10
2022-05,136343.38556883854,10
2022-06,139751.140349466,10
2022-07,140475.67876803223,10
2022-08,141778.60252680664,10
2022-09,136347.9275544667,10
2022-10,132981.10768148187,10
2022-11,126753.58539666657,10
2022-12,129041.43545125812,10
2023-01,129028.13932093552,10
2023-02,130191.28357289275,10
2023-03,128853.75193183866,10
2023-04,128782.99247143338,10
2023-05,134974.97966745155,10
2023-06,138217.75531453325,10
2023-07,138167.29686422585,10
2023-08,144420.13608396795,10
2023-09,143230.77713269967,10
2023-10,125980.40752477413,10
2023-11,126330.69059326673,10
2023-12,114161.63622293541,10
2024-01,123803.87792806457,10
2024-02,134056.7214083793,10
2024-03,134658.2099840645,10
2024-04,136157.4770604,10
2024-05,150140.89911312875,10
2024-06,147557.27864590034,10
2024-07,151904.88005638687,10
2024-08,153032.46219312944,10
2024-09,147218.685009933,10
2024-10,133163.7873477396,9
2024-11,127177.39949533336,9
2024-12,124483.82595129039,9
2025-01,138523.47121290336,9
2025-02,144802.9525749996,9
2025-03,133804.44729032266,9
2025-04,136720.8665766666,9
2025-05,147680.44143548395,9
2025-06,159351.14292666703,9
2025-07,160761.59559193513,9
2025-08,158098.854535484,9
2025-09,138645.90833333333,9
2025-10,123975.3018967742,9
2025-11,122217.0103333334,9
2025-12,131745.32302258065,9
2026-01,131675.45540967744,9
2026-02,140131.31146428542,9
2026-03,141833.4020645163,9
2026-04,140628.62523333333,9
2026-05,156584.2342710644,9
2026-06,123537.87,7
