periodo_str,produccion_total,cantidad_agrupadores
2019-03,129487.23589232226,12
2019-04,131627.7507636999,12
2019-05,136960.6186542436,11
2019-06,139995.68177750014,11
2019-07,144418.5267120971,11
2019-08,144422.81221983634,11
2019-09,137943.18488844458,11
2019-10,139900.85479899077,11
2019-11,126984.53867553633,11
2019-12,126865.62743072043,11
2020-01,130232.34320479199,11
2020-02,127716.03948722953,11
2020-03,126621.24672414316,11
2020-04,116740.22389078204,11
2020-05,124471.13840350075,11
2020-06,126021.74919613304,11
2020-07,126827.88520774152,11
2020-08,125672.14280664516,11
2020-09,122853.76705780033,11
2020-10,121881.1707158029,11
2020-11,115727.62328785629,11
2020-12,113873.20666561287,11
2021-01,116014.8545236455,11
2021-02,114579.22553332149,11
2021-03,114523.94538603163,11
2021-04,114239.91220483364,11
2021-05,121286.6333409339,11
2021-06,127022.89122980068,11
2021-07,130729.21513536105,11
2021-08,133725.37166095705,11
2021-09,132672.67914603342,11
2021-10,127230.11089690316,11
2021-11,127878.08021923383,11
2021-12,128861.93561423408,11
2022-01,129953.40574229746,11
2022-02,127327.01242624965,11
2022-03,125476.45750085032,11
2022-04,127374.05008609306,11
2022-05,136343.38556883854,11
2022-06,139751.14034946612,11
2022-07,140475.67876803235,11
2022-08,141778.6025268067,11
2022-09,136347.92755446662,11
2022-10,132981.10768148192,11
2022-11,126753.58539666666,11
2022-12,129041.43545125805,11
2023-01,129028.1393209355,11
2023-02,130191.28357289289,11
2023-03,128853.75193183863,11
2023-04,128782.9924714333,11
2023-05,134974.97966745158,11
2023-06,138217.7553145333,11
2023-07,138167.2968642258,11
2023-08,144420.13608396766,11
2023-09,143230.7771327,11
2023-10,125980.4075247742,11
2023-11,126330.69059326673,11
2023-12,114161.63622293553,11
2024-01,123803.87792806454,11
2024-02,134056.7214083793,11
2024-03,134658.20998406448,11
2024-04,136157.47706039998,11
2024-05,150140.89911312907,11
2024-06,147557.2786459004,11
2024-07,151904.88005638734,11
2024-08,153032.46219312897,11
2024-09,147218.6850099333,11
2024-10,133163.78734773965,11
2024-11,127177.39949533332,11
2024-12,124483.82595129035,11
2025-01,138523.4712129032,11
2025-02,144802.952575,11
2025-03,133804.44729032263,11
2025-04,136720.8665766666,11
2025-05,147680.44143548407,11
2025-06,159351.1429266663,11
2025-07,160761.5955919357,11
2025-08,158098.8545354834,11
2025-09,138647.44800000003,11
2025-10,123975.30189677414,11
2025-11,122217.57733333336,11
2025-12,131679.2230225806,11
2026-01,131617.46831290325,11
2026-02,140028.13575,11
2026-03,141065.9489354843,11
